1;Afghanistan ( Afghanistan )
2;Albania ( Albanien )
3;Algeria ( Algerien )
4;Andorra ( Andorra )
5;Angola ( Angola )
6;Anguilla ( Anguilla )
7;Antarctica ( Die Antarktis )
8;Antigua and Barbuda ( Antigua und Barbuda )
9;Argentina ( Argentinien )
10;Armenien ( Armenien )
11;Aruba ( Aruba )
12;Australia ( Australien )
13;Austria ( Österreich )
14;Azerbaijan ( Aserbaidschan )
15;Bahamas ( Bahamas )
16;Bahrain ( Bahrain )
17;Bangladesch ( Bangladesch )
18;Barbados ( Barbados )
19;Belarus ( Weißrussland )
20;Belgium ( Belgien )
21;Belize ( Belize )
22;Benin ( Benin )
23;Bermuda ( Bermuda )
24;Bhutan ( Bhutan )
25;Bolivia ( Bolivien )
26;Bosnia and Herzegovina ( Bosnien und Herzegowina )
27;Botswana ( Botswana )
28;Bouake ( Bouake )
29;Bouvet Island ( Insel Bouvet )
30;Brazil ( Brasilien )
31;British Virgin Islands ( Britische Jungferninseln )
32;Brunei Darussalam ( Brunei Darussalam )
33;Bulgaria ( Bulgarien )
34;Burkina Faso ( Burkina Faso )
35;Burundi ( Burundi )
36;Côte d'Ivoire ( Côte d'Ivoire )
37;Cambodia ( Kambodscha )
38;Kamerun ( Kamerun )
39;Canada ( Kanada )
40;Cape Verde ( Kap Verde )
41;Cayman Islands ( Cayman-Inseln )
42;Central African Republic ( Zentralafrikanische Republik )
43;Chad ( Tschad )
44;Chile ( Chile )
45;China ( China )
46;Christmas Island ( Weihnachtsinsel )
47;Colombia ( Kolumbien )
48;Comoros ( Komoren )
49;Congo ( Kongo )
50;Cook Islands ( Cook-Inseln )
51;Costa Rica ( Costa Rica )
52;Kroatien ( Kroatien )
53;Cuba ( Kuba )
54;Curaçao ( Curaçao )
55;Cyprus ( Zypern )
56;Czech Republic ( Tschechische Republik )
57;Dänemark ( Dänemark )
58;Djibouti ( Dschibuti )
59;Dominica ( Dominica )
60;Dominican Republic ( Dominikanische Republik )
61;East Timor ( Osttimor )
62;Ecuador ( Ecuador )
63;Egypt ( Ägypten )
64;El Salvador ( El Salvador )
65;Eritrea ( Eritrea )
66;Estonia ( Estland )
67;Ethiopia ( Äthiopien )
68;Falkland Islands ( Falklandinseln )
69;Faroe Islands ( Färöer )
70;Fiji ( Fidschi )
71;Finland ( Finnland )
72;France ( Frankreich )
73;French Guiana ( Französisch Guiana )
74;French Polynesia ( Französisch-Polynesien )
75;French Southern Territories ( Französische Südgebiete )
76;Gabon ( Gabun )
77;Gains Ville ( Gewinne Ville )
78;Gambia ( Gambia )
79;Georgia ( Georgia )
80;Germany ( Deutschland )
81;Ghana ( Ghana )
82;Gibraltar ( Gibraltar )
83;Greece ( Griechenland )
84;Greenland ( Grönland )
85;Grenada ( Grenada )
86;Guadeloupe ( Guadeloupe )
87;Guam ( Guam )
88;Guatemala ( Guatemala )
89;Guinea ( Guinea )
90;Guinea-Bissau ( Guinea-Bissau )
91;Guyana ( Guyana )
92;Haiti ( Haiti )
93;Heard and McDonald Islands ( Gehörte und McDonaldinseln )
94;Honduras ( Honduras )
95;Hong Kong ( Hong Kong )
96;Hungary ( Ungarn )
97;Iceland ( Island )
98;India ( Indien )
99;Indonesia ( Indonesien )
100;Iran ( Iran )
101;Iraq ( Irak )
102;Irland ( Irland )
103;Israel ( Israel )
104;Italy ( Italien )
105;Jamaica ( Jamaika )
106;Jan Mayen ( Jan Mayen )
107;Japan ( Japan )
108;Jordan ( Jordanien )
109;Kazakhstan ( Kasachstan )
110;Kenya ( Kenia )
111;Kiribati ( Kiribati )
112;Kosovo ( Kosovo )
113;Kurdistan ( Kurdistan )
114;Kuwait ( Kuwait )
115;Kyrgyzstan ( Kirgisistan )
116;Laos ( Laos )
117;Latvia ( Lettland )
118;Lebanon ( Libanon )
119;Lesotho ( Lesotho )
120;Liberia ( Liberia )
121;Libya ( Libyen )
122;Liechtenstein ( Liechtenstein )
123;Litauen ( Litauen )
124;Luxembourg ( Luxemburg )
125;Macau ( Macau )
126;Macedonia ( Mazedonien )
127;Madagascar ( Madagaskar )
128;Malawi ( Malawi )
129;Malaysia ( Malaysia )
130;Maldives ( Malediven )
131;Mali ( Mali )
132;Malta ( Malta )
133;Marshall Islands ( Marshall-Inseln )
134;Martinique ( Martinique )
135;Mauritania ( Mauretanien )
136;Mauritius ( Mauritius )
137;Mayotte ( Mayotte )
138;Mexico ( Mexiko )
139;Micronesia ( Mikronesien )
140;Moldawien ( Moldawien )
141;Monaco ( Monaco )
142;Mongolia ( Mongolei )
143;Montenegro ( Montenegro )
144;Montserrat ( Montserrat )
145;Morocco ( Marokko )
146;Mozambique ( Mozambique )
147;Myanmar ( Myanmar )
148;Namibia ( Namibia )
149;Nauru ( Nauru )
150;Nepal ( Nepal )
151;Niederlande ( Niederlande )
152;New Caledonia ( Neukaledonien )
153;New Zealand ( Neuseeland )
154;Nicaragua ( Nicaragua )
155;Niger ( Niger )
156;Nigeria ( Nigeria )
157;Niue ( Niue )
158;Norfolk Island ( Norfolk-Insel )
159;North Korea ( Nordkorea )
160;Northern Mariana Islands ( Nördliche Marianen )
161;Norway ( Norwegen )
162;Oman ( Oman )
163;Pakistan ( Pakistan )
164;Palau ( Palau )
165;Palestinian Territory ( Palästinensische Territorien )
166;Panama ( Panama )
167;Papua New Guinea ( Papua-Neuguinea )
168;Paraguay ( Paraguay )
169;Peru ( Peru )
170;Philippines ( Philippinen )
171;Pitcairn Islands ( Pitcairn Inseln )
172;Poland ( Polen )
173;Portugal ( Portugal )
174;Puerto Rico ( Puerto Rico )
175;Qatar ( Qatar )
176;Reunion ( Wiedervereinigung )
177;Romania ( Rumänien )
178;Russia ( Russische Föderation )
179;Rwanda ( Ruanda )
180;Saint Barthelemy ( Heiliges Barthelemy )
181;Saint Helena ( Heiliges Helena )
182;Saint Kitts and Nevis ( Saint Kitts und Nevis )
183;Saint Lucia ( Saint Lucia )
184;Saint Martin ( Saint Martin )
185;Saint Pierre and Miquelon ( Saint Pierre und Miquelon )
186;Saint Vincent and the Grenadines ( Saint Vincent und die Grenadinen )
187;Samoa ( Samoa )
188;San Marino ( San Marino )
189;Sao Tome and Principe ( Sao Tome und Principe )
190;Saudi Arabia ( Saudi Arabien )
191;Senegal ( Senegal )
192;Serbia ( Serbien )
193;Seychelles ( Seychellen )
194;Sierra Leone ( Sierra Leone )
195;Singapore ( Singapur )
196;Sint Maarten ( Sint Maarten )
197;Slovakia ( Slowakei )
198;Slovenia ( Slowenien )
199;Solomon inslands ( Salomonen )
200;Somalia ( Somalia )
201;South Africa ( Südafrika )
202;South Georgia and South Sandwich Islands ( Südgeorgien und Südliche Sandwich-Inseln )
203;South Korea ( Südkorea )
204;South Sudan ( Südsudan )
205;Spain ( Spanien )
206;Sri Lanka ( Sri Lanka )
207;Sudan ( Sudan )
208;Suriname ( Suriname )
209;Swaziland ( Swaziland )
210;Sweden ( Schweden )
211;Schweiz ( Schweiz )
212;Syria ( Syrien )
213;Taiwan ( Taiwan )
214;Tajikistan ( Tadschikistan )
215;Tanzania ( Tanzania )
216;Thailand ( Thailand )
217;Togo ( Togo )
218;Tokelau ( Tokelau )
219;Tonga ( Tonga )
220;Trinidad and Tobago ( Trinidad und Tobago )
221;Tunesia ( Tunesien )
222;Turkey ( Türkei )
223;Turkmenistan ( Turkmenistan )
224;Turks and Caicos Islands ( Turks- und Caicosinseln )
225;Tuvalu ( Tuvalu )
226;Uganda ( Uganda )
227;Ukraine ( Ukraine )
228;United Arab Emirates ( Vereinigte Arabische Emirate )
229;United Kingdom ( Vereinigtes Königreich )
230;United States ( Vereinigte Staaten )
231;Uruguay ( Uruguay )
232;US Virgin Islands ( Amerikanische Jungferninseln )
233;Uzbekistan ( Usbekistan )
234;Vanuatu ( Vanuatu )
235;Vatican City ( Vatikanstadt )
236;Venezuela ( Venezuela )
237;Vietnam ( Vietnam )
238;Wallis and Futuna ( Wallis und Futuna )
239;Western Sahara ( Western Sahara )
240;Yemen ( Jemen )
241;Yogyakarta ( Yogyakarta )
242;Zambia ( Sambia )
243;Zimbabwe ( Simbabwe )
